cell_id,isolated_object_plain_background,extreme_closeup_or_unusual_crop,repetitive_texture_or_geometric_pattern,unusual_color_or_high_contrast,blur_low_resolution_or_compression_artifact,watermark_or_visible_text,unusual_pose_occlusion_or_atypical_composition,notes
0,1,1,0,0,0,0,0,
1,0,0,0,0,1,0,0,"borderline: dim indoor snapshot; hands/subjects appear soft or low quality, uncertain if true defocus blur or just low source image quality"
2,0,0,1,0,1,0,1,"borderline: photographed through a screen/mesh; unclear whether the resulting softness of the duck counts as blur (criterion 5) versus foreground occlusion, and whether shooting through the mesh counts as nonstandard framing (criterion 7)"
3,0,0,1,0,0,0,1,
4,1,0,0,1,0,0,0,
5,0,1,1,0,0,1,0,
6,0,1,0,0,0,0,0,
7,1,0,1,0,0,0,0,
8,1,0,0,1,0,0,0,
9,0,1,1,0,0,0,0,
10,0,1,1,0,0,0,0,
11,0,1,0,0,0,0,0,
12,1,0,0,1,0,0,0,
13,0,0,0,0,0,0,1,
14,0,0,0,0,0,0,1,borderline: bent-over deadlift starting position; unclear if this counts as an unusual/atypical pose versus a normal action/exercise photo
15,1,1,0,0,0,0,0,
16,1,0,0,0,0,0,0,
17,1,1,0,0,0,0,0,
18,0,0,1,0,0,0,0,
19,1,0,0,0,0,0,1,
20,1,0,0,1,0,1,0,
21,0,1,1,0,1,1,0,borderline: only part of the keyboard is in focus (shallow depth of field); uncertain whether this counts as the main subject losing detail (criterion 5) or is excluded as background bokeh
22,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,1,borderline: dynamic overhead-lift pose with body twist; uncertain if this counts as atypical composition versus a normal exercise photo
24,0,0,0,0,1,0,0,
25,1,0,0,0,0,0,0,
26,1,0,0,0,0,1,0,
27,0,1,1,0,0,0,1,
28,1,0,0,0,0,0,1,
29,0,0,1,0,0,0,0,borderline: chain-link fence pattern visible in background but its coverage of the total frame is close to the 25% threshold
30,0,0,0,1,0,0,0,
31,1,0,0,0,0,0,0,
32,0,0,1,0,0,0,0,
33,1,0,0,0,0,1,0,
34,0,1,1,1,0,0,0,
35,0,0,0,0,0,0,1,"borderline: bent-over deadlift pose, same ambiguity as cell 14/23 regarding what counts as an atypical pose"
36,0,0,0,0,0,0,0,
37,1,0,0,0,0,0,0,
38,0,1,1,1,0,0,0,
39,1,0,0,0,0,0,0,
40,1,0,0,0,0,0,0,
41,1,1,1,0,0,0,0,
42,0,0,1,0,0,0,0,
43,1,1,1,0,0,0,0,
44,0,0,0,0,0,0,0,
45,0,1,1,0,0,0,0,
46,0,1,1,0,0,0,0,
47,0,0,0,0,0,0,0,
48,1,0,0,1,0,0,0,
49,0,0,0,0,1,0,0,"borderline: street scene appears soft; uncertain whether this reflects true defocus/low resolution or distant atmospheric haze, which the codebook excludes"
50,1,0,0,0,0,0,1,borderline: swimming pose with limbs splayed; uncertain whether this counts as an atypical/unusual pose versus a normal swimming posture for this animal
51,1,0,0,0,0,0,0,
52,0,1,0,1,0,0,0,borderline: solid saturated blue surface fills the frame; uncertain whether a plain solid-colored surface counts as a 'dominant artificial/saturated color cast' under criterion 4
53,0,0,0,1,0,0,0,borderline: richly saturated red curtains dominate the frame; uncertain whether this is an artificial color cast or simply the venue's natural decor/lighting
54,0,1,1,0,0,0,0,
55,0,0,1,0,0,1,0,
56,1,0,1,0,0,0,0,
57,1,0,0,0,0,0,0,
58,0,1,1,0,0,0,0,
59,1,0,0,0,0,0,0,
60,0,0,0,1,0,0,1,borderline: dominant saturated yellow wall color (criterion 4) and a dynamic jumping/spiking pose (criterion 7) are both subjective judgment calls per the codebook
61,1,1,1,0,0,0,0,
62,1,1,1,0,0,0,0,
63,1,1,1,0,0,0,0,
64,0,0,0,0,0,0,0,
65,0,0,0,1,0,0,0,
66,1,0,0,1,0,0,0,
67,1,0,0,1,0,0,0,
68,1,1,0,1,0,0,0,
69,0,1,1,1,0,0,0,
70,1,1,1,0,0,0,0,
71,1,0,1,0,0,0,0,
72,1,0,0,0,0,0,0,
73,0,0,1,0,0,0,0,
74,0,1,1,1,0,0,0,borderline: orange-peel dimple texture may or may not meet the 'repetitive geometric pattern' bar since it is an organic texture rather than discrete repeated elements
75,1,1,1,0,0,0,0,
76,1,0,0,0,0,0,0,
77,1,0,1,0,0,0,0,
78,0,0,0,0,0,0,0,
79,1,1,1,0,0,0,0,
80,0,1,1,1,0,0,0,borderline: fabric folds counted as repetitive lines is a stretch since they are one continuous surface rather than discrete repeated elements
81,1,0,1,1,0,0,0,
82,0,1,1,0,0,1,0,
83,1,0,1,0,0,0,0,
84,1,0,0,0,0,1,0,
85,1,0,0,1,1,0,0,"borderline: grainy, low-quality microscopy-style image; uncertain whether this counts as 'low resolution' per the codebook versus inherent imaging-modality noise"
86,0,0,0,0,0,1,0,borderline: a banner with text/logo is visible in the background but legibility is limited at this resolution
87,0,0,1,0,0,0,1,borderline: subject viewed through a wire fence in the foreground; the occlusion coverage from the thin wires is difficult to estimate precisely against the 25% threshold
88,0,1,1,0,0,0,0,
89,1,0,1,1,0,0,0,
90,0,1,1,0,0,0,0,
91,1,1,0,1,0,0,0,
92,0,0,0,0,0,0,1,borderline: window frame mullions occlude parts of the view; occlusion coverage is uncertain relative to the 25% threshold
93,0,0,0,1,0,0,1,borderline: same ambiguity as cell 60 - saturated yellow wall color and dynamic jump action pose are subjective calls
94,0,0,0,0,0,0,0,
95,1,0,0,1,0,1,0,
96,0,1,1,0,0,0,0,
97,1,0,0,0,0,0,0,
98,0,0,0,0,0,0,1,borderline: barber's hand/clippers partially cover the client's head; occlusion extent is near the 25% threshold
99,1,0,0,1,0,0,1,
